id,name,source,score
csv_0,csv_resume_0,csv,0.0028285070605060586
csv_1,csv_resume_1,csv,0.000368776086407729
csv_2,csv_resume_2,csv,0.005031434063611877
csv_3,csv_resume_3,csv,0.0010818620236189374
csv_4,csv_resume_4,csv,0.004398431204061847
csv_5,csv_resume_5,csv,0.0013334921566144574
csv_6,csv_resume_6,csv,0.0006908200085508368
csv_7,csv_resume_7,csv,0.0034008351793362876
csv_8,csv_resume_8,csv,0.0010617744993257918
csv_9,csv_resume_9,csv,0.004881315947855953
csv_10,csv_resume_10,csv,0.005666693930575691
csv_11,csv_resume_11,csv,0.00273174908568497
csv_12,csv_resume_12,csv,0.002935968296624145
csv_13,csv_resume_13,csv,0.0017196054747969642
csv_14,csv_resume_14,csv,0.002282791400789218
csv_15,csv_resume_15,csv,0.005047903389252744
csv_16,csv_resume_16,csv,0.0033310125171751386
csv_17,csv_resume_17,csv,0.006596284713947376
csv_18,csv_resume_18,csv,0.003145350217639616
csv_19,csv_resume_19,csv,0.0038507839555729636
csv_20,csv_resume_20,csv,0.003636629556063179
csv_21,csv_resume_21,csv,0.003433207902526667
csv_22,csv_resume_22,csv,0.0013625424352282146
csv_23,csv_resume_23,csv,0.0007264981534460015
csv_24,csv_resume_24,csv,0.0016789856880242546
csv_25,csv_resume_25,csv,0.001982652295407737
csv_26,csv_resume_26,csv,0.0012144563797381045
csv_27,csv_resume_27,csv,0.005185944106672251
csv_28,csv_resume_28,csv,0.0017757705085074023
csv_29,csv_resume_29,csv,0.004347224356558533
csv_30,csv_resume_30,csv,0.0028838865715007907
csv_31,csv_resume_31,csv,0.003048516295877042
csv_32,csv_resume_32,csv,0.0012949620049711292
csv_33,csv_resume_33,csv,0.0017919445417824429
csv_34,csv_resume_34,csv,0.0033993829391751984
csv_35,csv_resume_35,csv,0.0017481864970840203
csv_36,csv_resume_36,csv,0.0003459434994576791
csv_37,csv_resume_37,csv,0.0005950199457816906
csv_38,csv_resume_38,csv,0.0033393721195385433
csv_39,csv_resume_39,csv,0.0006847122859695354
csv_40,csv_resume_40,csv,0.00607931431621892
csv_41,csv_resume_41,csv,0.00037973503567506676
csv_42,csv_resume_42,csv,0.008501137524433367
csv_43,csv_resume_43,csv,0.0007152327838466629
csv_44,csv_resume_44,csv,0.0035416833492880754
csv_45,csv_resume_45,csv,0.001759854719870274
csv_46,csv_resume_46,csv,0.0011803909940240084
csv_47,csv_resume_47,csv,0.01116963697381952
csv_48,csv_resume_48,csv,0.00560916672420577
csv_49,csv_resume_49,csv,0.00047833372918680713
csv_50,csv_resume_50,csv,0.00040050755809832854
csv_51,csv_resume_51,csv,0.0019470648526766002
csv_52,csv_resume_52,csv,0.0028259004250660432
csv_53,csv_resume_53,csv,0.006981017877684114
csv_54,csv_resume_54,csv,0.0025422208579699004
csv_55,csv_resume_55,csv,0.0018639427191543467
csv_56,csv_resume_56,csv,0.00036320135585142944
csv_57,csv_resume_57,csv,0.0028896781470610245
csv_58,csv_resume_58,csv,0.0005339300763292686
csv_59,csv_resume_59,csv,0.002334215097698434
csv_60,csv_resume_60,csv,0.0005755766730484558
csv_61,csv_resume_61,csv,0.0055591622149898145
